SessionID,Location,babies_anchor,babies_code,babies_est,chicago_anchor,Chicago_code,chicago_est,everest_anchor,everest_code,everest_est,,Babies,,Chicago,,Everest,,,,,,,,,,,,,,,2.02107539
2454600,ithaca,lowanchor,1,2000,highanchor,2,3000000,lowanchor,1,5500,,,,300000,,,32000,,,,,,,,,,,,,,
2456447,ithaca,lowanchor,1,,lowanchor,1,400000,lowanchor,1,6000,,,,300000,,,45000,,,,,,,,,,,,,,
2456450,ithaca,highanchor,2,5000,highanchor,2,3500000,highanchor,2,40000,,,,250000,,,,,,,,,,,,,,,,,
2456456,ithaca,lowanchor,1,,lowanchor,1,,highanchor,2,30000,,,,250000,,,,,,,,,,,,,,,,,
2456459,ithaca,lowanchor,1,,lowanchor,1,250000,highanchor,2,40000,,,,,,,,,,,,,,,,,,,,,
2456460,ithaca,highanchor,2,5500,highanchor,2,3400000,highanchor,2,39000,,,,,,,,,,,,,,,,,,,,,
2456463,ithaca,lowanchor,1,2500,lowanchor,1,1000000,lowanchor,1,6000,,,,,,,,,,,,,,,,,,,,,
2456625,ithaca,lowanchor,1,,lowanchor,1,,lowanchor,1,40000,,,,,,,,,,,,,,,,,,,,,
2456811,ithaca,highanchor,2,1800,highanchor,2,3800000,lowanchor,1,,,,,,,,,,,,,,,,,,,,,,
2456933,ithaca,lowanchor,1,2300,highanchor,2,4000000,lowanchor,1,3000,,,,,,,,,,,,,,,,,,,,,
2456936,ithaca,highanchor,2,4500,highanchor,2,3500000,lowanchor,1,3000,,,,,,,,,,,,,,,,,,,,,
2465685,ithaca,lowanchor,1,,lowanchor,1,800000,highanchor,2,25000,,,,,,,,,,,,,,,,,,,,,
2465686,ithaca,highanchor,2,2000,lowanchor,1,600000,highanchor,2,45000,,,,,,,,,,,,,,,,,,,,,
2465689,ithaca,highanchor,2,5600,lowanchor,1,450000,lowanchor,1,3500,,,,,,,,,,,,,,,,,,,,,
2465799,ithaca,lowanchor,1,2000,highanchor,2,1000000,highanchor,2,35000,,,,,,,,,,,,,,,,,,,,,
2465800,ithaca,highanchor,2,3000,lowanchor,1,400000,highanchor,2,35500,,,,,,,,,,,,,,,,,,,,,
2465802,ithaca,lowanchor,1,3000,lowanchor,1,500000,lowanchor,1,5000,,,,,,,,,,,,,,,,,,,,,
2465803,ithaca,lowanchor,1,1753,lowanchor,1,,lowanchor,1,2224,,,,,,,,,,,,,,,,,,,,,
2465808,ithaca,lowanchor,1,3500,lowanchor,1,250000,highanchor,2,42000,,,,,,,,,,,,,,,,,,,,,
2467455,ithaca,lowanchor,1,,lowanchor,1,700000,highanchor,2,40000,,,,,,,,,,,,,,,,,,,,,
2467466,ithaca,lowanchor,1,2750,highanchor,2,3500000,highanchor,2,40000,,,,,,,,,,,,,,,,,,,,,
2467471,ithaca,lowanchor,1,3300,lowanchor,1,260000,highanchor,2,35000,,,,,,,,,,,,,,,,,,,,,
2467477,ithaca,lowanchor,1,,highanchor,2,800000,lowanchor,1,9000,,,,,,,,,,,,,,,,,,,,,
2467622,ithaca,highanchor,2,4000,highanchor,2,4500000,highanchor,2,43000,,,,,,,,,,,,,,,,,,,,,
2467625,ithaca,lowanchor,1,5000,lowanchor,1,300000,lowanchor,1,4500,,,,,,,,,,,,,,,,,,,,,
2467630,ithaca,lowanchor,1,,highanchor,2,1500000,highanchor,2,39000,,,,,,,,,,,,,,,,,,,,,
2467632,ithaca,lowanchor,1,2100,lowanchor,1,450000,highanchor,2,30000,,,,,,,,,,,,,,,,,,,,,
2467930,ithaca,highanchor,2,4200,lowanchor,1,900000,highanchor,2,26580,,,,,,,,,,,,,,,,,,,,,
2467935,ithaca,highanchor,2,3500,lowanchor,1,500000,highanchor,2,43000,,,,,,,,,,,,,,,,,,,,,
2467937,ithaca,highanchor,2,3500,highanchor,2,3500000,highanchor,2,39000,,,,,,,,,,,,,,,,,,,,,
2468023,ithaca,highanchor,2,4000,lowanchor,1,400000,highanchor,2,45000,,,,,,,,,,,,,,,,,,,,,
2468025,ithaca,lowanchor,1,,highanchor,2,600000,highanchor,2,30000,,,,,,,,,,,,,,,,,,,,,
2469961,ithaca,lowanchor,1,3000,lowanchor,1,1000000,lowanchor,1,10000,,,,,,,,,,,,,,,,,,,,,
2470134,ithaca,lowanchor,1,3000,lowanchor,1,800000,highanchor,2,10000,,,,,,,,,,,,,,,,,,,,,
2470138,ithaca,lowanchor,1,3000,highanchor,2,1500000,lowanchor,1,5867,,,,,,,,,,,,,,,,,,,,,
2470304,ithaca,lowanchor,1,3000,highanchor,2,4000000,lowanchor,1,15000,,,,,,,,,,,,,,,,,,,,,
2470307,ithaca,lowanchor,1,3500,lowanchor,1,,highanchor,2,27000,,,,,,,,,,,,,,,,,,,,,
2470311,ithaca,highanchor,2,3000,highanchor,2,2000000,highanchor,2,30000,,,,,,,,,,,,,,,,,,,,,
